id,label,board,1000.5,1008.4,1009.3,1012.3,1014.5,1015.4,1016.3,1017.5,1018.4,1019.3,1023.3,1042.3,1046.3,1053.4,1062.4,1078.3,1099.4,1121.3,1137.3,1174.2,1227.4,1466,2660.9
MeV-78,0,test,-651.6781453,-796.8313514,-889.1030483,-735.7172605,-823.7551178,-779.9014535,-584.1259473,-743.2600208,-918.1377369,-811.1446528,-843.7582554,-923.4618336,-844.8059924,-849.325628,-833.4470071,-180.7255735,-824.7714052,-857.5861666,-901.5136347,-888.8676506,-804.6049037,-353.8935301,-833.8620545
MeV-103,0,test,-429.7098704,-588.6774235,-546.7694973,-903.710071,-427.8120868,-375.2393377,-500.254803,-279.5979317,-207.7090256,-438.1324956,-631.0388015,-699.8856899,-365.3578384,879.3028008,4986.193356,2318.830584,5336.886884,164.6409306,218.1187438,-457.232934,-484.7543308,-487.1832776,1345.711522
MeV-106,0,test,-341.3836922,-226.7589172,-347.8906774,-155.625836,-250.5150779,-223.8210564,-376.4130648,-239.173092,-223.5377715,-136.2337835,-285.8047982,-206.1778303,-394.3751552,-158.4784903,-25.24684527,833.2429126,867.9431351,-266.2096774,-276.2864806,-197.9827227,-420.3753945,-532.8278385,-105.762045
MeV-11,0,test,-724.6233756,-308.0169917,-437.7124471,-887.5620488,-482.3630569,-383.2526644,-542.8736944,-651.0207509,-257.0074639,-303.8083336,-391.0690049,-291.6764969,-750.6524476,1467.685282,11968.79955,4071.504829,1184.712302,-308.2937957,-306.6446391,-347.3916065,-368.741915,-89.78329099,1137.018241
MeV-122,0,test,-613.1937861,-576.1444121,-551.3258833,-480.5187585,-618.1584761,-628.0758582,-602.7114184,-608.4743528,-441.8928834,-596.0396471,-550.5021467,-467.3152447,-558.709708,-383.6060214,2616.398146,587.1127914,200.3757021,-549.0038974,-768.7236155,-574.2729131,-540.2928613,-374.1402295,-569.6803821
MeV-145,0,test,-498.3832742,-394.0452148,-366.7941016,-275.8846741,-102.2686221,-476.8063818,-692.0003416,-340.6898803,-208.9368203,-266.4107445,-269.610026,-293.0136631,-621.824566,901.3178586,4782.124829,-468.6323989,-74.45311679,-660.9240171,-449.7142793,-435.3354803,-361.9394377,-146.7701409,1382.105624
MeV-148,0,test,-326.7170737,-593.567869,-820.0808925,-239.7278196,-455.2220812,-840.5245435,-306.2312936,-419.3962955,-767.8775078,-482.9121212,-865.3310336,-349.4301381,-454.1682265,3442.892956,-111.5557008,-771.5139187,95.48337807,-487.2628428,-154.9481445,-460.6984841,-330.1518489,-555.7971139,8855.634585
MeV-26,0,test,-945.8612395,-1225.39314,-1591.602171,-973.2474944,-468.3312158,-1085.869041,-1061.999338,-392.9173644,94.8368313,-678.1554906,-1210.931275,-1209.46538,-1276.277695,2886.01028,6850.072281,-1416.095604,11402.68439,-781.3384374,-377.199215,1590.716676,-1364.658134,783.2324056,-586.0025491
MeV-47,0,test,-521.6810009,-699.0938997,-775.3665588,-310.3182029,-68.83646916,-767.0686226,-705.5461991,-1179.675441,101.3901679,-620.7257651,-524.3011285,-362.5731446,-644.1722822,-375.4362079,12969.51574,202.3407348,2800.873701,-670.8405628,-849.430505,-102.7066544,-732.2119732,-333.519044,-508.8358407
MeV-57,0,test,-344.7591846,-321.8994012,-311.819012,-241.8102101,-313.456787,-265.1032982,-316.0781013,-311.1505549,-100.5130602,-318.5125441,-358.1626555,-50.07868997,-338.5466927,-348.4871481,-324.5397733,-42.12658418,-299.2377745,-317.0109261,-326.885247,-299.8490685,-309.688432,-271.1855924,-66.36308618
MeV-80,0,test,-245.7820056,-357.0514685,-269.2293696,-225.5728113,-162.9350246,-309.3010717,-240.0997418,-281.2971624,-133.3910831,-80.98965558,-259.0818745,-134.7505822,-347.746545,1101.641521,728.587997,-9.319711313,491.0716381,-271.0940728,-299.4158184,-65.66483736,-329.5960161,-123.3084214,2118.778938
SE82,1,test,59.6313095,-111.9957475,-84.08926911,-99.54183274,-143.5861441,-89.7741145,-148.6179714,-21.99970609,-12.76169147,-172.2117163,-116.6855218,-156.2181566,-133.4717645,-142.0513246,-157.459403,-200.9339961,236.5582628,-107.2224998,-24.35730165,-94.8741895,-88.26905096,-168.6506842,-191.986415
SE31,1,test,-125.8048895,-228.3804812,-138.2287246,-49.13117041,157.6375967,-160.9763605,-80.50861524,-106.0621257,202.9464356,-19.5702547,-166.1209353,-153.5445875,-148.7609643,45.08008339,487.5255574,102.9233279,-210.3957442,-176.054763,-137.5183083,-131.0980468,-136.0405434,-183.1337772,554.9093431
SE91,1,test,-107.9809043,-96.09855316,-87.65160693,-44.45438976,-135.140752,-100.9549088,-199.071506,-89.43861394,-174.6062408,-35.35783024,-81.72764528,-118.600677,-52.0638497,168.415996,544.3718589,583.0838409,-34.82151228,-69.04510696,-64.35742318,-117.6584887,-106.5112242,-198.2315871,1275.445935
MeV-2,0,train,-836.9874425,-537.1426445,-753.9091246,1005.870449,-65.74636818,-462.161968,233.3707171,-672.8330836,258.124693,-242.7628991,-246.2754882,-1085.893349,-486.1177066,-542.9540058,801.493277,8073.343083,2171.953676,-437.2112075,-354.3360304,-259.0387333,-416.0112173,-208.3963626,-371.8769462
MeV-111,0,train,-652.6371797,-630.541757,-526.9718372,-752.9251736,-488.4479528,-638.4274996,-599.9305833,-613.7300871,-818.3081013,-660.9197237,-696.1740846,-710.6621368,-689.0496783,570.1258049,1884.139531,67.05949739,1495.580423,-612.7228038,-683.3658301,-803.6902691,-672.0384568,-776.4101154,4268.549675
MeV-92,0,train,-159.2696229,-220.5092492,-218.6612336,-460.8581969,-44.35906636,-155.6637769,-216.8558193,45.15616936,-52.64155755,-147.4817565,-247.6937108,-369.9955825,-222.097386,-365.0879576,1577.73921,-1.630995882,424.3034691,-298.7821169,35.09210032,-273.140913,-163.4060282,-255.818004,4589.13284
MeV-1,0,train,-343.4187154,-326.9027896,-251.746256,-398.2140967,-181.2865556,-355.761399,-511.2838174,-346.5884745,-307.3883399,-355.5956876,-352.8039156,-272.3856588,-371.2382215,623.0327633,962.5090252,1271.856637,3037.281255,-226.8055074,-189.3455229,-15.88522285,-456.5627739,-33.44898262,514.5625914
